,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
51,5.7861,5.5277,5.3841,5.3361,5.3559,5.442,5.5157,5.5081,5.3865,5.2693,5.2913,5.2454,5.2167,5.3229,5.4586,5.4594,5.5364,5.7117,5.9305,5.9511,5.8728,5.8229,5.823,5.8095
52,5.4813,5.243,5.1238,5.0874,5.1421,5.2687,5.4338,5.6035,5.9366,6.1327,6.3022,6.3506,6.2286,6.3513,6.3838,6.3778,6.4162,6.4174,6.4904,6.4823,6.3829,6.2868,6.2555,6.2348
53,5.9203,5.6897,5.5942,5.5689,5.6373,5.8277,6.1974,6.7622,7.518,7.7208,7.6045,7.394,7.0074,7.0967,7.0755,7.0509,7.171,7.2974,7.3939,7.3178,7.0705,6.8667,6.7111,6.7516
54,6.3984,6.1831,6.0716,6.0362,6.1082,6.2772,6.5908,7.0389,7.4748,7.4091,7.2288,6.9573,6.5343,6.6913,6.7872,6.9351,7.1275,7.1663,7.2408,7.1652,6.956,6.7738,6.6402,6.6894
55,6.3299,6.1005,5.9762,5.9293,5.9865,6.1494,6.4699,6.958,7.5755,7.6597,7.6059,7.4966,7.1388,7.3061,7.3166,7.3167,7.3547,7.3015,7.3239,7.1971,6.948,6.7331,6.5994,6.6803
56,6.3418,6.0761,5.944,5.9173,5.9705,6.136,6.4319,6.8641,7.2682,7.1447,6.8543,6.468,6.0096,6.0938,6.1491,6.3138,6.5726,6.7571,6.8693,6.8273,6.6582,6.5193,6.4237,6.4596
57,6.1077,5.8544,5.7297,5.6835,5.7062,5.7916,5.9217,5.986,6.0609,5.9607,5.9404,5.845,5.6899,5.8034,5.8077,5.8397,5.9609,6.0477,6.2348,6.2607,6.1624,6.0639,6.0241,6.1147
58,5.8108,5.5377,5.3947,5.3274,5.3622,5.4405,5.4986,5.4946,5.48,5.3889,5.3775,5.2351,5.0911,5.0582,5.0366,5.1395,5.3417,5.614,5.9484,6.0702,6.0336,5.9702,5.9358,5.8912
59,5.6003,5.3837,5.2921,5.2885,5.3849,5.6099,6.0042,6.5658,7.1789,7.1435,6.8554,6.5037,6.0859,6.2279,6.3259,6.5198,6.7735,6.9491,7.1063,7.0517,6.8241,6.6324,6.4878,6.5095
60,6.1359,5.8984,5.7988,5.7768,5.847,6.0294,6.3539,6.8001,7.2893,7.2308,6.9312,6.561,6.1328,6.2732,6.3832,6.5972,6.8181,6.9383,7.0787,7.0291,6.8297,6.632,6.485,6.508
61,6.1427,5.9098,5.8111,5.7853,5.8506,6.0239,6.3598,6.7642,7.0943,6.9283,6.6718,6.3646,5.9346,6.0552,6.1416,6.3081,6.5779,6.7202,6.8721,6.8551,6.7037,6.5476,6.4203,6.4478
